"Device","TimeDate","Time","PPG","HR","AccX","AccY","AccZ"
"712AF22B","Mar 11,2021 14:08:05:121","0:0:0:62","350223.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:128","0:0:0:69","350049.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:134","0:0:0:75","350028.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:141","0:0:0:82","349890.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:147","0:0:0:88","349892.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:154","0:0:0:95","349875.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:160","0:0:0:101","349893.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:164","0:0:0:105","349783.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:168","0:0:0:109","349810.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:173","0:0:0:114","349808.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:177","0:0:0:118","349844.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:182","0:0:0:123","349791.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:186","0:0:0:127","349750.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:191","0:0:0:132","349743.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:196","0:0:0:137","349750.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:200","0:0:0:141","349709.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:205","0:0:0:146","349693.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:211","0:0:0:152","349703.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:262","0:0:0:203","349555.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:268","0:0:0:209","349583.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:274","0:0:0:215","349633.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:281","0:0:0:222","349647.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:287","0:0:0:228","349663.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:292","0:0:0:233","349667.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:299","0:0:0:240","349638.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:304","0:0:0:245","349582.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:310","0:0:0:251","349553.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:315","0:0:0:256","349462.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:319","0:0:0:260","349528.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:324","0:0:0:265","349488.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:328","0:0:0:269","349542.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:333","0:0:0:274","349493.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:340","0:0:0:281","349538.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:345","0:0:0:286","349503.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:349","0:0:0:290","349491.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:353","0:0:0:294","349415.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:381","0:0:0:322","349288.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:385","0:0:0:326","349334.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:390","0:0:0:331","349317.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:395","0:0:0:336","349385.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:398","0:0:0:339","349436.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:402","0:0:0:343","349366.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:406","0:0:0:347","349404.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:411","0:0:0:352","349376.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:415","0:0:0:356","349473.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:420","0:0:0:361","349466.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:424","0:0:0:365","349430.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:428","0:0:0:369","349448.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:431","0:0:0:372","349542.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:436","0:0:0:377","349493.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:441","0:0:0:382","349526.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:445","0:0:0:386","349495.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:450","0:0:0:391","349490.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:454","0:0:0:395","349545.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:501","0:0:0:442","349673.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:506","0:0:0:447","349702.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:511","0:0:0:452","349640.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:517","0:0:0:458","349620.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:522","0:0:0:463","349658.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:527","0:0:0:468","349630.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:532","0:0:0:473","349630.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:538","0:0:0:479","349691.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:543","0:0:0:484","349637.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:549","0:0:0:490","349726.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:555","0:0:0:496","349725.66","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:561","0:0:0:502","349780.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:567","0:0:0:508","349753.34","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:573","0:0:0:514","349839.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:578","0:0:0:519","349853.0","77","-261","-313","937"
"712AF22B","Mar 11,2021 14:08:05:582","0:0:0:523","349835.66","77","-261","-313","937"
