Device,TimeDate,Time,PPG,HR,AccX,AccY,AccZ
6D18B021,"May 13,2021 19:52:46:497",0:0:0:272,399319,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:516",0:0:0:291,399136.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:532",0:0:0:307,398957.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:546",0:0:0:321,398812,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:558",0:0:0:333,398724.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:570",0:0:0:345,398649.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:582",0:0:0:357,398629,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:593",0:0:0:368,398614.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:604",0:0:0:379,398526.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:614",0:0:0:389,398307,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:625",0:0:0:400,398440.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:636",0:0:0:411,398425.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:645",0:0:0:420,398432.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:655",0:0:0:430,398434.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:666",0:0:0:441,398473,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:679",0:0:0:454,398521.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:693",0:0:0:468,398498,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:706",0:0:0:481,398518.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:719",0:0:0:494,398747.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:734",0:0:0:509,398599.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:746",0:0:0:521,398692,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:758",0:0:0:533,398790.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:769",0:0:0:544,398905.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:778",0:0:0:553,398993.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:789",0:0:0:564,399051,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:799",0:0:0:574,399131,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:808",0:0:0:583,399256.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:820",0:0:0:595,399133.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:833",0:0:0:608,399432,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:843",0:0:0:618,399478,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:855",0:0:0:630,399638.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:866",0:0:0:641,399683.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:876",0:0:0:651,399850.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:886",0:0:0:661,399953.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:897",0:0:0:672,400102,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:907",0:0:0:682,400156.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:919",0:0:0:694,400304,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:929",0:0:0:704,400447.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:940",0:0:0:715,400406.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:952",0:0:0:727,400597.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:963",0:0:0:738,400720.66,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:973",0:0:0:748,400830.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:982",0:0:0:757,400894.34,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:991",0:0:0:766,401072,81,-783,515,395
6D18B021,"May 13,2021 19:52:46:999",0:0:0:774,401054,81,-783,515,395
6D18B021,"May 13,2021 19:52:47:094",0:0:0:869,401085.34,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:110",0:0:0:885,401002.34,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:126",0:0:0:901,400797.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:139",0:0:0:914,400643,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:150",0:0:0:925,400411,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:162",0:0:0:937,400168.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:174",0:0:0:949,399981.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:182",0:0:0:957,399889.34,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:193",0:0:0:968,399665,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:206",0:0:0:981,399480,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:217",0:0:0:992,399421,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:228",0:0:1:3,399295,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:239",0:0:1:14,399095.34,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:248",0:0:1:23,398872,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:257",0:0:1:32,398792.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:266",0:0:1:41,398699,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:274",0:0:1:49,398741.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:282",0:0:1:57,398936.34,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:319",0:0:1:94,399587,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:330",0:0:1:105,400677.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:341",0:0:1:116,401989.34,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:352",0:0:1:127,403728.34,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:362",0:0:1:137,405623.34,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:371",0:0:1:146,407335.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:381",0:0:1:156,408378.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:391",0:0:1:166,409223.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:399",0:0:1:174,409848.66,81,-783,512,392
6D18B021,"May 13,2021 19:52:47:469",0:0:1:244,410463.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:479",0:0:1:254,410940.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:487",0:0:1:262,411124.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:495",0:0:1:270,411553.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:502",0:0:1:277,412068.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:509",0:0:1:284,412548.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:517",0:0:1:292,412919,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:526",0:0:1:301,413128,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:535",0:0:1:310,413264.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:578",0:0:1:353,413540,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:587",0:0:1:362,413551,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:597",0:0:1:372,413471.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:606",0:0:1:381,413564.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:617",0:0:1:392,413678,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:627",0:0:1:402,413779,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:637",0:0:1:412,414110.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:646",0:0:1:421,414571.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:653",0:0:1:428,414919,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:732",0:0:1:507,415383.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:742",0:0:1:517,415901,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:756",0:0:1:531,416375.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:768",0:0:1:543,416585.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:778",0:0:1:553,416396,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:788",0:0:1:563,415916,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:797",0:0:1:572,415211.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:806",0:0:1:581,414374.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:814",0:0:1:589,413042.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:840",0:0:1:615,411612.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:850",0:0:1:625,409664,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:859",0:0:1:634,407633.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:867",0:0:1:642,405960.34,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:875",0:0:1:650,404414.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:882",0:0:1:657,403274,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:890",0:0:1:665,402544,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:898",0:0:1:673,402041.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:907",0:0:1:682,401755.66,81,-840,511,409
6D18B021,"May 13,2021 19:52:47:990",0:0:1:765,401537.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:001",0:0:1:776,401414.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:010",0:0:1:785,401078.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:018",0:0:1:793,400447.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:026",0:0:1:801,399837.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:036",0:0:1:811,399263.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:050",0:0:1:825,398881.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:060",0:0:1:835,399025.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:068",0:0:1:843,399806.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:075",0:0:1:850,400640,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:082",0:0:1:857,401385.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:088",0:0:1:863,401823,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:094",0:0:1:869,402100.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:101",0:0:1:876,402559.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:108",0:0:1:883,403338,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:115",0:0:1:890,404121.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:122",0:0:1:897,404862.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:135",0:0:1:910,405881.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:258",0:0:2:33,407249,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:267",0:0:2:42,408968.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:278",0:0:2:53,410582,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:289",0:0:2:64,412119.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:300",0:0:2:75,413665.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:308",0:0:2:83,414915,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:316",0:0:2:91,415861.34,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:326",0:0:2:101,416836.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:334",0:0:2:109,417795.66,81,-1011,524,105
6D18B021,"May 13,2021 19:52:48:404",0:0:2:179,418280,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:417",0:0:2:192,418443.34,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:430",0:0:2:205,418569.34,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:439",0:0:2:214,418756,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:447",0:0:2:222,419105.66,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:456",0:0:2:231,419623.66,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:466",0:0:2:241,420119.66,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:474",0:0:2:249,420487.66,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:481",0:0:2:256,420871,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:488",0:0:2:263,421119,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:495",0:0:2:270,421205,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:503",0:0:2:278,421215,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:509",0:0:2:284,421204.34,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:516",0:0:2:291,421140,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:524",0:0:2:299,420979,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:530",0:0:2:305,420324.34,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:537",0:0:2:312,419493,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:545",0:0:2:320,418457,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:632",0:0:2:407,416961.66,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:640",0:0:2:415,414877,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:652",0:0:2:427,411593.66,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:660",0:0:2:435,406909,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:669",0:0:2:444,401798.34,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:678",0:0:2:453,397469.66,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:687",0:0:2:462,394067.34,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:695",0:0:2:470,391583,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:702",0:0:2:477,390091.66,80,-1011,524,105
6D18B021,"May 13,2021 19:52:48:780",0:0:2:555,388782.34,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:793",0:0:2:568,387784.34,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:806",0:0:2:581,387341.34,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:818",0:0:2:593,387483.34,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:827",0:0:2:602,388055.34,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:836",0:0:2:611,388516,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:844",0:0:2:619,388603,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:850",0:0:2:625,388385,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:858",0:0:2:633,387879.34,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:900",0:0:2:675,387286.34,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:911",0:0:2:686,386530.66,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:922",0:0:2:697,386412.34,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:933",0:0:2:708,387263,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:944",0:0:2:719,389139,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:956",0:0:2:731,391004.66,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:965",0:0:2:740,392163.66,80,-973,568,-595
6D18B021,"May 13,2021 19:52:48:976",0:0:2:751,393096.34,80,-973,568,-595
