id,device_code,uuid,mode,mean,hrv_pnn50,hrv_rmssd,hr_mean,status_basic,status_sliding,response_body,created_at,minute
766,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,65.7142857143,492.2235853461,68.62,success,,"{'HRV': {'HRV_S': {'0': 508901.3356197304}, 'HRV_AI': {'0': 50.3509816219}, 'HRV_Ca': {'0': 0.5197460891}, 'HRV_Cd': {'0': 0.4802539109}, 'HRV_GI': {'0': 50.1121076233}, 'HRV_HF': {'0': 0.0358368805}, 'HRV_LF': {'0': 0.0689681154}, 'HRV_PI': {'0': 48.4848484848}, 'HRV_SI': {'0': 49.7193244428}, 'HRV_C1a': {'0': 0.479949275}, 'HRV_C1d': {'0': 0.520050725}, 'HRV_C2a': {'0': 0.5426626958}, 'HRV_C2d': {'0': 0.4573373042}, 'HRV_CSI': {'0': 1.3177993805}, 'HRV_CVI': {'0': 6.4136037006}, 'HRV_HFn': {'0': 0.3416378042}, 'HRV_HTI': {'0': 3.8888888889}, 'HRV_LFn': {'0': 0.6574823253}, 'HRV_PAS': {'0': 0.2777777778}, 'HRV_PIP': {'0': 0.6428571429}, 'HRV_PSS': {'0': 0.9302325581}, 'HRV_SD1': {'0': 350.6042767976}, 'HRV_SD2': {'0': 462.0260987672}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 9.2296e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.7579291721}, 'HRV_CVNN': {'0': 0.1815377206}, 'HRV_CVSD': {'0': 0.2194068452}, 'HRV_IALS': {'0': 0.6515151515}, 'HRV_LFHF': {'0': 1.9245010863}, 'HRV_LnHF': {'0': -3.3287777343}, 'HRV_SD1a': {'0': 242.8931016384}, 'HRV_SD1d': {'0': 252.8368457884}, 'HRV_SD2a': {'0': 340.354496468}, 'HRV_SD2d': {'0': 312.4530887606}, 'HRV_SDNN': {'0': 407.2669092913}, 'HRV_SDSD': {'0': 495.8293232732}, 'HRV_TINN': {'0': 1640}, 'HRV_IQRNN': {'0': 235}, 'HRV_MCVNN': {'0': 0.0747529412}, 'HRV_MadNN': {'0': 177.912}, 'HRV_RMSSD': {'0': 492.2235853461}, 'HRV_SDNNa': {'0': 295.6672471627}, 'HRV_SDNNd': {'0': 284.2124234303}, 'HRV_pNN20': {'0': 81.4285714286}, 'HRV_pNN50': {'0': 65.7142857143}, 'HRV_MeanNN': {'0': 2243.4285714286}, 'HRV_SD1SD2': {'0': 0.7588408485}, 'HRV_SampEn': {'0': 0.8957420636}, 'HRV_MedianNN': {'0': 2380}, 'HRV_CSI_Modified': {'0': 2435.4308269348}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 68.62, 'message': ''}",2021-05-27 22:05:12.652445+00:00,1
767,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,62.3188405797,249.3756910649,67.78,success,,"{'HRV': {'HRV_S': {'0': 169820.8690956675}, 'HRV_AI': {'0': 49.9893923819}, 'HRV_Ca': {'0': 0.5798706726}, 'HRV_Cd': {'0': 0.4201293274}, 'HRV_GI': {'0': 49.4736842105}, 'HRV_HF': {'0': 0.0191448345}, 'HRV_LF': {'0': 0.0627439287}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 48.6638825542}, 'HRV_C1a': {'0': 0.4143019296}, 'HRV_C1d': {'0': 0.5856980704}, 'HRV_C2a': {'0': 0.6363007971}, 'HRV_C2d': {'0': 0.3636992029}, 'HRV_CSI': {'0': 1.7129256194}, 'HRV_CVI': {'0': 5.9369611691}, 'HRV_HFn': {'0': 0.2337398701}, 'HRV_HTI': {'0': 4.3125}, 'HRV_LFn': {'0': 0.7660425442}, 'HRV_PAS': {'0': 0.2941176471}, 'HRV_PIP': {'0': 0.6231884058}, 'HRV_PSS': {'0': 0.8461538462}, 'HRV_SD1': {'0': 177.6443260696}, 'HRV_SD2': {'0': 304.2915172663}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.78217e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.735943643}, 'HRV_CVNN': {'0': 0.1079618959}, 'HRV_CVSD': {'0': 0.1083013764}, 'HRV_IALS': {'0': 0.65}, 'HRV_LFHF': {'0': 3.277329383}, 'HRV_LnHF': {'0': -3.955722338}, 'HRV_SD1a': {'0': 114.3443346462}, 'HRV_SD1d': {'0': 135.954338252}, 'HRV_SD2a': {'0': 242.7286717247}, 'HRV_SD2d': {'0': 183.5105430295}, 'HRV_SDNN': {'0': 248.5940002938}, 'HRV_SDSD': {'0': 251.2270152063}, 'HRV_TINN': {'0': 1580}, 'HRV_IQRNN': {'0': 260}, 'HRV_MCVNN': {'0': 0.0887025641}, 'HRV_MadNN': {'0': 207.564}, 'HRV_RMSSD': {'0': 249.3756910649}, 'HRV_SDNNa': {'0': 189.7259008978}, 'HRV_SDNNd': {'0': 161.492571799}, 'HRV_pNN20': {'0': 72.4637681159}, 'HRV_pNN50': {'0': 62.3188405797}, 'HRV_MeanNN': {'0': 2302.6086956522}, 'HRV_SD1SD2': {'0': 0.5837965109}, 'HRV_SampEn': {'0': 1.3545456628}, 'HRV_MedianNN': {'0': 2340}, 'HRV_CSI_Modified': {'0': 2084.9149427709}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 67.78, 'message': ''}",2021-05-27 22:06:12.804886+00:00,2
768,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,55.0724637681,90.5213656937,72.03,success,,"{'HRV': {'HRV_S': {'0': 32339.2699703211}, 'HRV_AI': {'0': 50.5826290144}, 'HRV_Ca': {'0': 0.4992709636}, 'HRV_Cd': {'0': 0.5007290364}, 'HRV_GI': {'0': 50.6172839506}, 'HRV_HF': {'0': 0.0021054603}, 'HRV_LF': {'0': 0.0112422607}, 'HRV_PI': {'0': 48.3333333333}, 'HRV_SI': {'0': 50.650303766}, 'HRV_C1a': {'0': 0.4781048098}, 'HRV_C1d': {'0': 0.5218951902}, 'HRV_C2a': {'0': 0.5027244092}, 'HRV_C2d': {'0': 0.4972755908}, 'HRV_CSI': {'0': 2.4757984991}, 'HRV_CVI': {'0': 5.2167003218}, 'HRV_HFn': {'0': 0.1577379797}, 'HRV_HTI': {'0': 3.6315789474}, 'HRV_LFn': {'0': 0.8422535788}, 'HRV_PAS': {'0': 0.2352941176}, 'HRV_PIP': {'0': 0.6376811594}, 'HRV_PSS': {'0': 0.8421052632}, 'HRV_SD1': {'0': 64.48111252}, 'HRV_SD2': {'0': 159.6422415995}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.127e-07}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.6351538429}, 'HRV_CVNN': {'0': 0.0537791216}, 'HRV_CVSD': {'0': 0.0398645279}, 'HRV_IALS': {'0': 0.6333333333}, 'HRV_LFHF': {'0': 5.3395737696}, 'HRV_LnHF': {'0': -6.163221154}, 'HRV_SD1a': {'0': 44.5876631087}, 'HRV_SD1d': {'0': 46.5848607783}, 'HRV_SD2a': {'0': 113.1912363123}, 'HRV_SD2d': {'0': 112.5761490059}, 'HRV_SDNN': {'0': 122.1175764265}, 'HRV_SDSD': {'0': 91.1900638427}, 'HRV_TINN': {'0': 700}, 'HRV_IQRNN': {'0': 140}, 'HRV_MCVNN': {'0': 0.0386765217}, 'HRV_MadNN': {'0': 88.956}, 'HRV_RMSSD': {'0': 90.5213656937}, 'HRV_SDNNa': {'0': 86.0241700901}, 'HRV_SDNNd': {'0': 86.1496911739}, 'HRV_pNN20': {'0': 73.9130434783}, 'HRV_pNN50': {'0': 55.0724637681}, 'HRV_MeanNN': {'0': 2270.7246376812}, 'HRV_SD1SD2': {'0': 0.4039100922}, 'HRV_SampEn': {'0': 1.7452394536}, 'HRV_MedianNN': {'0': 2300}, 'HRV_CSI_Modified': {'0': 1580.9680886006}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 72.03, 'message': ''}",2021-05-27 22:07:13.739678+00:00,3
769,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,55.0724637681,90.5213656937,72.03,success,,"{'HRV': {'HRV_S': {'0': 32339.2699703211}, 'HRV_AI': {'0': 50.5826290144}, 'HRV_Ca': {'0': 0.4992709636}, 'HRV_Cd': {'0': 0.5007290364}, 'HRV_GI': {'0': 50.6172839506}, 'HRV_HF': {'0': 0.0021054603}, 'HRV_LF': {'0': 0.0112422607}, 'HRV_PI': {'0': 48.3333333333}, 'HRV_SI': {'0': 50.650303766}, 'HRV_C1a': {'0': 0.4781048098}, 'HRV_C1d': {'0': 0.5218951902}, 'HRV_C2a': {'0': 0.5027244092}, 'HRV_C2d': {'0': 0.4972755908}, 'HRV_CSI': {'0': 2.4757984991}, 'HRV_CVI': {'0': 5.2167003218}, 'HRV_HFn': {'0': 0.1577379797}, 'HRV_HTI': {'0': 3.6315789474}, 'HRV_LFn': {'0': 0.8422535788}, 'HRV_PAS': {'0': 0.2352941176}, 'HRV_PIP': {'0': 0.6376811594}, 'HRV_PSS': {'0': 0.8421052632}, 'HRV_SD1': {'0': 64.48111252}, 'HRV_SD2': {'0': 159.6422415995}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.127e-07}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.6351538429}, 'HRV_CVNN': {'0': 0.0537791216}, 'HRV_CVSD': {'0': 0.0398645279}, 'HRV_IALS': {'0': 0.6333333333}, 'HRV_LFHF': {'0': 5.3395737696}, 'HRV_LnHF': {'0': -6.163221154}, 'HRV_SD1a': {'0': 44.5876631087}, 'HRV_SD1d': {'0': 46.5848607783}, 'HRV_SD2a': {'0': 113.1912363123}, 'HRV_SD2d': {'0': 112.5761490059}, 'HRV_SDNN': {'0': 122.1175764265}, 'HRV_SDSD': {'0': 91.1900638427}, 'HRV_TINN': {'0': 700}, 'HRV_IQRNN': {'0': 140}, 'HRV_MCVNN': {'0': 0.0386765217}, 'HRV_MadNN': {'0': 88.956}, 'HRV_RMSSD': {'0': 90.5213656937}, 'HRV_SDNNa': {'0': 86.0241700901}, 'HRV_SDNNd': {'0': 86.1496911739}, 'HRV_pNN20': {'0': 73.9130434783}, 'HRV_pNN50': {'0': 55.0724637681}, 'HRV_MeanNN': {'0': 2270.7246376812}, 'HRV_SD1SD2': {'0': 0.4039100922}, 'HRV_SampEn': {'0': 1.7452394536}, 'HRV_MedianNN': {'0': 2300}, 'HRV_CSI_Modified': {'0': 1580.9680886006}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 72.03, 'message': ''}",2021-05-27 22:07:17.183973+00:00,4
770,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,79.4520547945,547.5653182752,64.01,success,,"{'HRV': {'HRV_S': {'0': 851138.5920563362}, 'HRV_AI': {'0': 50.0660303483}, 'HRV_Ca': {'0': 0.5233049247}, 'HRV_Cd': {'0': 0.4766950753}, 'HRV_GI': {'0': 50.1435406699}, 'HRV_HF': {'0': 0.0090208946}, 'HRV_LF': {'0': 0.0272659911}, 'HRV_PI': {'0': 49.2753623188}, 'HRV_SI': {'0': 50.2394332829}, 'HRV_C1a': {'0': 0.5108673498}, 'HRV_C1d': {'0': 0.4891326502}, 'HRV_C2a': {'0': 0.5272211343}, 'HRV_C2d': {'0': 0.4727788657}, 'HRV_CSI': {'0': 1.7821136548}, 'HRV_CVI': {'0': 6.6369703926}, 'HRV_HFn': {'0': 0.2484699119}, 'HRV_HTI': {'0': 2.2121212121}, 'HRV_LFn': {'0': 0.7510095989}, 'HRV_PAS': {'0': 0.1363636364}, 'HRV_PIP': {'0': 0.6301369863}, 'HRV_PSS': {'0': 0.9318181818}, 'HRV_SD1': {'0': 389.9038342976}, 'HRV_SD2': {'0': 694.852947143}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 1.88968e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.5991659398}, 'HRV_CVNN': {'0': 0.2579698754}, 'HRV_CVSD': {'0': 0.2520955363}, 'HRV_IALS': {'0': 0.6376811594}, 'HRV_LFHF': {'0': 3.0225373898}, 'HRV_LnHF': {'0': -4.7082117738}, 'HRV_SD1a': {'0': 278.6840302787}, 'HRV_SD1d': {'0': 272.6913335262}, 'HRV_SD2a': {'0': 504.5326886818}, 'HRV_SD2d': {'0': 477.7733607108}, 'HRV_SDNN': {'0': 560.3247047326}, 'HRV_SDSD': {'0': 551.407290485}, 'HRV_TINN': {'0': 1560}, 'HRV_IQRNN': {'0': 1140}, 'HRV_MCVNN': {'0': 0.059304}, 'HRV_MadNN': {'0': 148.26}, 'HRV_RMSSD': {'0': 547.5653182752}, 'HRV_SDNNa': {'0': 407.5647326995}, 'HRV_SDNNd': {'0': 388.9909687803}, 'HRV_pNN20': {'0': 87.6712328767}, 'HRV_pNN50': {'0': 79.4520547945}, 'HRV_MeanNN': {'0': 2172.0547945205}, 'HRV_SD1SD2': {'0': 0.5611314393}, 'HRV_SampEn': {'0': 0.3985989703}, 'HRV_MedianNN': {'0': 2500}, 'HRV_CSI_Modified': {'0': 4953.2277006006}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 64.01, 'message': ''}",2021-05-27 22:08:12.977396+00:00,5
771,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,65.2777777778,460.8320704802,65.55,success,,"{'HRV': {'HRV_S': {'0': 530275.1450703642}, 'HRV_AI': {'0': 50.0508201572}, 'HRV_Ca': {'0': 0.4342555158}, 'HRV_Cd': {'0': 0.5657444842}, 'HRV_GI': {'0': 50.2937720329}, 'HRV_HF': {'0': 0.0359307085}, 'HRV_LF': {'0': 0.0622173578}, 'HRV_PI': {'0': 47.7611940299}, 'HRV_SI': {'0': 50.6630152443}, 'HRV_C1a': {'0': 0.5161161958}, 'HRV_C1d': {'0': 0.4838838042}, 'HRV_C2a': {'0': 0.4009282336}, 'HRV_C2d': {'0': 0.5990717664}, 'HRV_CSI': {'0': 1.5672553184}, 'HRV_CVI': {'0': 6.4314713814}, 'HRV_HFn': {'0': 0.3655556745}, 'HRV_HTI': {'0': 3.6}, 'HRV_LFn': {'0': 0.6329935905}, 'HRV_PAS': {'0': 0.1578947368}, 'HRV_PIP': {'0': 0.6111111111}, 'HRV_PSS': {'0': 0.8780487805}, 'HRV_SD1': {'0': 328.1752488592}, 'HRV_SD2': {'0': 514.3344041338}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 0.0001425937}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.6860379318}, 'HRV_CVNN': {'0': 0.2002009756}, 'HRV_CVSD': {'0': 0.2075820137}, 'HRV_IALS': {'0': 0.6119402985}, 'HRV_LFHF': {'0': 1.7315928454}, 'HRV_LnHF': {'0': -3.3261629584}, 'HRV_SD1a': {'0': 235.7662280432}, 'HRV_SD1d': {'0': 228.2855354907}, 'HRV_SD2a': {'0': 325.670856086}, 'HRV_SD2d': {'0': 398.093422166}, 'HRV_SDNN': {'0': 444.4461658809}, 'HRV_SDSD': {'0': 464.1098877718}, 'HRV_TINN': {'0': 1520}, 'HRV_IQRNN': {'0': 235}, 'HRV_MCVNN': {'0': 0.061775}, 'HRV_MadNN': {'0': 148.26}, 'HRV_RMSSD': {'0': 460.8320704802}, 'HRV_SDNNa': {'0': 284.2949355771}, 'HRV_SDNNd': {'0': 324.4939587158}, 'HRV_pNN20': {'0': 80.5555555556}, 'HRV_pNN50': {'0': 65.2777777778}, 'HRV_MeanNN': {'0': 2220}, 'HRV_SD1SD2': {'0': 0.6380581315}, 'HRV_SampEn': {'0': 0.8142915639}, 'HRV_MedianNN': {'0': 2400}, 'HRV_CSI_Modified': {'0': 3224.3733212089}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 65.55, 'message': ''}",2021-05-27 22:09:14.053709+00:00,6
772,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,58.8235294118,228.2051970055,68.03,success,,"{'HRV': {'HRV_S': {'0': 133522.6277242858}, 'HRV_AI': {'0': 48.7589030356}, 'HRV_Ca': {'0': 0.6736781401}, 'HRV_Cd': {'0': 0.3263218599}, 'HRV_GI': {'0': 48.7179487179}, 'HRV_HF': {'0': 0.0280695103}, 'HRV_LF': {'0': 0.0874391974}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 48.6838319405}, 'HRV_C1a': {'0': 0.5018915511}, 'HRV_C1d': {'0': 0.4981084489}, 'HRV_C2a': {'0': 0.7401171163}, 'HRV_C2d': {'0': 0.2598828837}, 'HRV_CSI': {'0': 1.608100771}, 'HRV_CVI': {'0': 5.8325249806}, 'HRV_HFn': {'0': 0.2428734696}, 'HRV_HTI': {'0': 4.25}, 'HRV_LFn': {'0': 0.7565739852}, 'HRV_PAS': {'0': 0.25}, 'HRV_PIP': {'0': 0.6470588235}, 'HRV_PSS': {'0': 0.9}, 'HRV_SD1': {'0': 162.5720450528}, 'HRV_SD2': {'0': 261.4322309845}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 6.38591e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.8052937636}, 'HRV_CVNN': {'0': 0.0929280353}, 'HRV_CVSD': {'0': 0.0977816849}, 'HRV_IALS': {'0': 0.6451612903}, 'HRV_LFHF': {'0': 3.1150952239}, 'HRV_LnHF': {'0': -3.5730713353}, 'HRV_SD1a': {'0': 115.1810169545}, 'HRV_SD1d': {'0': 114.7460965204}, 'HRV_SD2a': {'0': 224.9103042482}, 'HRV_SD2d': {'0': 133.2747779609}, 'HRV_SDNN': {'0': 216.8776352966}, 'HRV_SDSD': {'0': 229.9115909764}, 'HRV_TINN': {'0': 1260}, 'HRV_IQRNN': {'0': 165}, 'HRV_MCVNN': {'0': 0.0498352941}, 'HRV_MadNN': {'0': 118.608}, 'HRV_RMSSD': {'0': 228.2051970055}, 'HRV_SDNNa': {'0': 178.6775190444}, 'HRV_SDNNd': {'0': 124.356007308}, 'HRV_pNN20': {'0': 75}, 'HRV_pNN50': {'0': 58.8235294118}, 'HRV_MeanNN': {'0': 2333.8235294118}, 'HRV_SD1SD2': {'0': 0.6218515768}, 'HRV_SampEn': {'0': 1.2452157629}, 'HRV_MedianNN': {'0': 2380}, 'HRV_CSI_Modified': {'0': 1681.637488791}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 68.03, 'message': ''}",2021-05-27 22:10:13.872030+00:00,7
773,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,53.7313432836,221.2224987188,69.25,success,,"{'HRV': {'HRV_S': {'0': 121801.0708182831}, 'HRV_AI': {'0': 52.1088432644}, 'HRV_Ca': {'0': 0.6397175712}, 'HRV_Cd': {'0': 0.3602824288}, 'HRV_GI': {'0': 52.2935779817}, 'HRV_HF': {'0': 0.0224690166}, 'HRV_LF': {'0': 0.0549611855}, 'HRV_PI': {'0': 50}, 'HRV_SI': {'0': 52.3786918994}, 'HRV_C1a': {'0': 0.5359752322}, 'HRV_C1d': {'0': 0.4640247678}, 'HRV_C2a': {'0': 0.6823056961}, 'HRV_C2d': {'0': 0.3176943039}, 'HRV_CSI': {'0': 1.5610810512}, 'HRV_CVI': {'0': 5.7926212164}, 'HRV_HFn': {'0': 0.2900502612}, 'HRV_HTI': {'0': 3.35}, 'HRV_LFn': {'0': 0.7094883809}, 'HRV_PAS': {'0': 0.2857142857}, 'HRV_PIP': {'0': 0.7164179104}, 'HRV_PSS': {'0': 0.9285714286}, 'HRV_SD1': {'0': 157.5933511785}, 'HRV_SD2': {'0': 246.0159943253}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 3.57395e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.6557887733}, 'HRV_CVNN': {'0': 0.0878382208}, 'HRV_CVSD': {'0': 0.0940476359}, 'HRV_IALS': {'0': 0.724137931}, 'HRV_LFHF': {'0': 2.4460877157}, 'HRV_LnHF': {'0': -3.7956179587}, 'HRV_SD1a': {'0': 115.3989734656}, 'HRV_SD1d': {'0': 107.3742556167}, 'HRV_SD2a': {'0': 203.213633612}, 'HRV_SD2d': {'0': 138.6653834888}, 'HRV_SDNN': {'0': 206.616471633}, 'HRV_SDSD': {'0': 222.8706545764}, 'HRV_TINN': {'0': 1340}, 'HRV_IQRNN': {'0': 180}, 'HRV_MCVNN': {'0': 0.04942}, 'HRV_MadNN': {'0': 118.608}, 'HRV_RMSSD': {'0': 221.2224987188}, 'HRV_SDNNa': {'0': 165.2463372706}, 'HRV_SDNNd': {'0': 124.0107240268}, 'HRV_pNN20': {'0': 62.6865671642}, 'HRV_pNN50': {'0': 53.7313432836}, 'HRV_MeanNN': {'0': 2352.2388059701}, 'HRV_SD1SD2': {'0': 0.6405817297}, 'HRV_SampEn': {'0': 0.8290491788}, 'HRV_MedianNN': {'0': 2400}, 'HRV_CSI_Modified': {'0': 1536.2036281676}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 69.25, 'message': ''}",2021-05-27 22:11:14.441046+00:00,8
774,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,63.2352941176,222.2543923646,68.21,success,,"{'HRV': {'HRV_S': {'0': 140077.560657143}, 'HRV_AI': {'0': 50.6852669951}, 'HRV_Ca': {'0': 0.3549302607}, 'HRV_Cd': {'0': 0.6450697393}, 'HRV_GI': {'0': 50.8021390374}, 'HRV_HF': {'0': 0.0102528379}, 'HRV_LF': {'0': 0.0243682974}, 'HRV_PI': {'0': 40}, 'HRV_SI': {'0': 51.0178459145}, 'HRV_C1a': {'0': 0.5593425187}, 'HRV_C1d': {'0': 0.4406574813}, 'HRV_C2a': {'0': 0.2902987228}, 'HRV_C2d': {'0': 0.7097012772}, 'HRV_CSI': {'0': 1.7784650087}, 'HRV_CVI': {'0': 5.8533386802}, 'HRV_HFn': {'0': 0.2957427318}, 'HRV_HTI': {'0': 3.7777777778}, 'HRV_LFn': {'0': 0.7029026407}, 'HRV_PAS': {'0': 0.2941176471}, 'HRV_PIP': {'0': 0.6323529412}, 'HRV_PSS': {'0': 0.8684210526}, 'HRV_SD1': {'0': 158.3385583179}, 'HRV_SD2': {'0': 281.5995854917}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 4.69624e-05}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.6956096096}, 'HRV_CVNN': {'0': 0.0975723007}, 'HRV_CVSD': {'0': 0.0955207855}, 'HRV_IALS': {'0': 0.6333333333}, 'HRV_LFHF': {'0': 2.3767368228}, 'HRV_LnHF': {'0': -4.5802007407}, 'HRV_SD1a': {'0': 118.4239942927}, 'HRV_SD1d': {'0': 105.1117731203}, 'HRV_SD2a': {'0': 151.7241013164}, 'HRV_SD2d': {'0': 237.230106919}, 'HRV_SDNN': {'0': 227.027785639}, 'HRV_SDSD': {'0': 223.9245366198}, 'HRV_TINN': {'0': 1380}, 'HRV_IQRNN': {'0': 160}, 'HRV_MCVNN': {'0': 0.0500455696}, 'HRV_MadNN': {'0': 118.608}, 'HRV_RMSSD': {'0': 222.2543923646}, 'HRV_SDNNa': {'0': 136.0963727373}, 'HRV_SDNNd': {'0': 183.4756230093}, 'HRV_pNN20': {'0': 76.4705882353}, 'HRV_pNN50': {'0': 63.2352941176}, 'HRV_MeanNN': {'0': 2326.7647058824}, 'HRV_SD1SD2': {'0': 0.5622826399}, 'HRV_SampEn': {'0': 1.1306150198}, 'HRV_MedianNN': {'0': 2370}, 'HRV_CSI_Modified': {'0': 2003.2600370112}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 68.21, 'message': ''}",2021-05-27 22:12:15.081132+00:00,9
775,6D18B021,163b8c9b-d61a-415d-8c35-6048746a90a3,hrv,,53.7313432836,155.3880772307,66.8,success,,"{'HRV': {'HRV_S': {'0': 109238.1065273255}, 'HRV_AI': {'0': 58.8511035976}, 'HRV_Ca': {'0': 0.3235225459}, 'HRV_Cd': {'0': 0.6764774541}, 'HRV_GI': {'0': 60}, 'HRV_HF': {'0': 0.0026490524}, 'HRV_LF': {'0': 0.0085552912}, 'HRV_PI': {'0': 45.7627118644}, 'HRV_SI': {'0': 61.3768350022}, 'HRV_C1a': {'0': 0.156124498}, 'HRV_C1d': {'0': 0.843875502}, 'HRV_C2a': {'0': 0.3440971078}, 'HRV_C2d': {'0': 0.6559028922}, 'HRV_CSI': {'0': 2.8683455648}, 'HRV_CVI': {'0': 5.7453442737}, 'HRV_HFn': {'0': 0.236424231}, 'HRV_HTI': {'0': 3.1904761905}, 'HRV_LFn': {'0': 0.7635478122}, 'HRV_PAS': {'0': 0.6}, 'HRV_PIP': {'0': 0.6865671642}, 'HRV_PSS': {'0': 0.875}, 'HRV_SD1': {'0': 110.1023046195}, 'HRV_SD2': {'0': 315.8114571336}, 'HRV_ULF': {'0': None}, 'HRV_VHF': {'0': 3.132e-07}, 'HRV_VLF': {'0': None}, 'HRV_ApEn': {'0': 0.7407832505}, 'HRV_CVNN': {'0': 0.1059133616}, 'HRV_CVSD': {'0': 0.0661519963}, 'HRV_IALS': {'0': 0.6779661017}, 'HRV_LFHF': {'0': 3.2295666524}, 'HRV_LnHF': {'0': -5.9335533016}, 'HRV_SD1a': {'0': 43.7475274027}, 'HRV_SD1d': {'0': 101.7084823632}, 'HRV_SD2a': {'0': 185.2543406462}, 'HRV_SD2d': {'0': 255.768852147}, 'HRV_SDNN': {'0': 248.7857440642}, 'HRV_SDSD': {'0': 155.7081724414}, 'HRV_TINN': {'0': 1300}, 'HRV_IQRNN': {'0': 140}, 'HRV_MCVNN': {'0': 0.037065}, 'HRV_MadNN': {'0': 88.956}, 'HRV_RMSSD': {'0': 155.3880772307}, 'HRV_SDNNa': {'0': 134.5975796255}, 'HRV_SDNNd': {'0': 194.6308314646}, 'HRV_pNN20': {'0': 71.6417910448}, 'HRV_pNN50': {'0': 53.7313432836}, 'HRV_MeanNN': {'0': 2348.9552238806}, 'HRV_SD1SD2': {'0': 0.3486330281}, 'HRV_SampEn': {'0': 0.886642038}, 'HRV_MedianNN': {'0': 2400}, 'HRV_CSI_Modified': {'0': 3623.4255695768}}, 'mode': 'hrv', 'uuid': '163b8c9b-d61a-415d-8c35-6048746a90a3', 'device': '6D18B021', 'hr_mean': 66.8, 'message': ''}",2021-05-27 22:13:14.611960+00:00,10
